"","soil_name","n_Mg_ha"
"1","edneyville",3.50260454644795
"2","lloyd",10.6300431154762
"3","mantachie",11.6243446135531
"4","leefield",1.67424334996219
"5","portia",0
"6","moko",0
"7","lenoir",18.81202
"8","clarksville",11.3628737938308
"9","pacolet",4.5882045088453
"10","cowarts",5.1551894645592
"11","caddo",3.69351251860119
"12","noark",0
"13","leon",9.86275508928572
"14","fuquay",6.35879258927949
"15","hemphill",19.9638599847527
"16","ruston",3.91229904080191
"17","craggey",29.1872105254334
"18","dothan",8.37398840270362
"19","cecil",7.74627640828116
"20","forestdale",9.87131201007328
"21","rutlege",0
"22","arkana",0
"23","foxworth",2.69170167685054
"24","toinette",9.81602319490707
"25","lakeland",4.74650852626664
"26","smithdale",8.851088347625
"27","wickham",4.84687817491176
"28","wagram",4.34965225745862
"29","trimont",12.085745
"30","orangeburg",4.51886019315131
"31","ponzer",35.4897760048035
"32","sharkey",27.4143771566455
"33","leadvale",0
"34","albany",2.60251738887017
"35","bayboro",0
"36","goldsboro",7.92735254223215
"37","appling",6.11557446211359
"38","saucier",5.41800975
"39","evergreen",0
"40","pottsburg",0
"41","cahaba",14.7504986666667
"42","clifton",7.94759252794357
"43","nixa",0
"44","lily",17.9284274022504
"45","bibb",15.1321714389857
"46","urban land",0
"47","hiwassee",9.34286474008876
"48","esto",0
"49","pelham",4.11657788867215
"50","saffell",5.95993065287456
"51","malbis",4.09625782101702
"52","norfolk",4.5392707028656
"53","boulogne",0
"54","greenville",4.76735833333333
"55","blanton",3.5641448349468
"56","wrightsville",8.74858424230666
"57","poarch",3.251301336673
"58","ocilla",1.72207887424683
"59","allanton",0
"60","troup",4.84552482389937
"61","davidson",7.52526906150795
"62","hurricane",4.28891422537821
"63","pamlico",76.953138647861
"64","rains",7.8380047897436
"65","meggett",12.8289
"66","cartecay",0
"67","wadley",6.0073347060405
"68","susquehanna",6.03823266666666
"69","plummer",0
"70","bonneau",6.58292340718256
"71","rexor",0
"72","beauregard",4.34434041666667
"73","lynchburg",0
"74","betis",4.13967276355328
"75","burton",19.8105589771465
"76","sapelo",6.16869846495258
"77","mattex",12.0651351743272
"78","cowee",3.42367370139587
"79","ouachita",8.85230945582943
"80","mascotte",0
"81","kolin",6.14679429090909
"82","escambia",3.18639800960422
"83","tippah",4.7461641508665
"84","mecklenburg",9.77093740952382
"85","estate",0
"86","olustee",0
"87","duplin",0
"88","tate",16.2063372666667
"89","lucy",3.83346113425519
"90","guyton",11.05349913
"91","fannin",9.13875718926887
"92","rosman",14.0963425714286
"93","bude",0
"94","madison",9.93953215972222
"95","ashe",0
"96","reddies",11.505948982684
"97","tuckasegee",17.8945729627505
"98","dorovan",0
"99","bernaldo",5.20310557001825
"100","attoyac",4.18206052991342
"101","wahee",9.9991736081474
"102","carnasaw",0
"103","mclaurin",3.3002
"104","lexington",11.8850489602528
"105","ashlar",3.74488758743128
"106","chewacla",17.4514376994792
"107","saunook",14.6813641666667
"108","sacul",6.60474307142857
"109","providence",5.43504166666666
"110","helena",6.56638912076183
"111","gwinnett",0
"112","woden",0
"113","angelina",17.204218033286
"114","toccoa",6.3635494
"115","bethera",17.0479495684524
"116","whiteside",6.22010407143745
"117","townley",0
"118","enon",8.21170714285714
"119","latonia",4.27805832332136
"120","louisburg",0
"121","mollville",10.9243643703704
"122","vance",10.4256411369818
"123","besner",0
"124","wehadkee",20.0524311815594
"125","harleston",0
"126","chandler",6.66867417410435
"127","craven",5.35704777777778
"128","wilkes",0
"129","kinston",0
"130","plott",19.1241267242562
"131","unaka",0
"132","pantego",0
"133","cullasaja",9.42026420634922
"134","glenmora",5.38806796535162
"135","benndale",0
"136","udorthents",0
"137","toxaway",27.1605872340411
"138","congaree",0
"139","chestnut",34.9939953565822
"140","clebit",0
"141","kingsferry",0
"142","hard labor",0
"143","smithton",0
"144","evard",5.6360713978069
"145","cashiers",14.2552779513812
"146","cataula",7.49180933333333
"147","acadia",4.55453701058733
"148","tusquitee",25.3268835
"149","nikwasi",12.0777219910983
